timesec,time,cycle,sattrack,lat,lon,height,geoid,lakeid
648972581.736606,2020.564,61,34,38.913168,64.621453,240.057836522367,-36.413031162,4610001882
648972581.785784,2020.564,61,34,38.910292,64.620527,240.26685753919,-36.4153718552,4610001882
648972581.834975,2020.564,61,34,38.907416,64.619601,240.130126248779,-36.4176602412,4610001882
648972581.884166,2020.564,61,34,38.90454,64.618674,240.078441237208,-36.419894906,4610001882
648972581.933343,2020.564,61,34,38.901665,64.617748,240.211003614255,-36.4220769526,4610001882
648972581.982534,2020.564,61,34,38.898789,64.616822,240.093012018753,-36.4242050335,4610001882
648972582.031713,2020.564,61,34,38.895913,64.615896,240.270359669507,-36.4262691872,4610001882
648972582.080902,2020.564,61,34,38.893037,64.614969,240.265951586298,-36.4282758603,4610001882
651305378.823425,2020.637,62,34,38.931428,64.624159,239.910217968325,-36.392400311,4610001882
651305379.020239,2020.637,62,34,38.919922,64.620451,240.072644130033,-36.4028421066,4610001882
651305379.069443,2020.637,62,34,38.917045,64.619524,239.957530759925,-36.4053238156,4610001882
651305379.118647,2020.637,62,34,38.914168,64.618598,239.921853941125,-36.4077420759,4610001882
651305379.167839,2020.637,62,34,38.911292,64.617671,239.862321294197,-36.4101045098,4610001882
651305379.217043,2020.637,62,34,38.908416,64.616744,239.933735941478,-36.4124142379,4610001882
651305379.266247,2020.637,62,34,38.905539,64.615818,240.098801260374,-36.4146746359,4610001882
651305379.315451,2020.637,62,34,38.902662,64.614891,240.052413932969,-36.4168823876,4610001882
651305379.364655,2020.637,62,34,38.899785,64.613965,239.910075764079,-36.4190392978,4610001882
651305379.413858,2020.637,62,34,38.896909,64.613039,239.742675816449,-36.421134431,4610001882
651305379.463062,2020.637,62,34,38.894032,64.612112,239.812816068028,-36.4231697617,4610001882
653638178.844799,2020.711,63,34,38.945351,64.637341,239.552289920195,-36.3913347174,4610001882
653638178.943182,2020.711,63,34,38.939599,64.635485,239.832295536145,-36.3969387271,4610001882
653638178.992399,2020.711,63,34,38.936722,64.634557,239.803610733371,-36.3997031383,4610001882
653638179.041589,2020.711,63,34,38.933846,64.633629,239.699971566229,-36.4024131659,4610001882
653638179.09078,2020.711,63,34,38.930971,64.632701,239.85817957659,-36.4050703535,4610001882
653638179.139997,2020.711,63,34,38.928093,64.631773,239.807468636929,-36.4077086424,4610001882
653638179.238392,2020.711,63,34,38.922341,64.629918,239.571937707324,-36.4128761015,4610001882
653638179.287608,2020.711,63,34,38.919464,64.62899,239.493199765875,-36.4153873715,4610001882
653638179.336799,2020.711,63,34,38.916588,64.628062,239.589097494042,-36.417834294,4610001882
653638179.386003,2020.711,63,34,38.913712,64.627135,239.751034914876,-36.4202209092,4610001882
653638179.435206,2020.711,63,34,38.910835,64.626207,239.73161921703,-36.4225544228,4610001882
653638179.48441,2020.711,63,34,38.907959,64.625279,239.61305052559,-36.4248349257,4610001882
653638179.632008,2020.711,63,34,38.89933,64.622497,239.781042478933,-36.4313744792,4610001882
653638179.681199,2020.711,63,34,38.896454,64.62157,239.782559548074,-36.4334407427,4610001882
653638179.730402,2020.711,63,34,38.893577,64.620643,239.710218585618,-36.4354489917,4610001882
653638179.779606,2020.711,63,34,38.890701,64.619716,239.578427079477,-36.4374066799,4610001882
655970980.812456,2020.785,64,34,38.938012,64.6313,239.708366257258,-36.3932850124,4610001882
655970980.861634,2020.785,64,34,38.935137,64.630372,239.574715378128,-36.3960292157,4610001882
655970980.910825,2020.785,64,34,38.932261,64.629445,239.464609722486,-36.3987186408,4610001882
655970980.960003,2020.785,64,34,38.929386,64.628517,239.432272633954,-36.4013766347,4610001882
655970981.107538,2020.785,64,34,38.92076,64.625736,239.515164144668,-36.4091533914,4610001882
655970981.156716,2020.785,64,34,38.917885,64.624809,239.405357844744,-36.4116421741,4610001882
655970981.205894,2020.785,64,34,38.915009,64.623882,239.368886641144,-36.4140660514,4610001882
655970981.255072,2020.785,64,34,38.912134,64.622955,239.714859059021,-36.4164335519,4610001882
655970981.30425,2020.785,64,34,38.909259,64.622028,239.570179079421,-36.4187486549,4610001882
655970981.353428,2020.785,64,34,38.906384,64.621101,239.462447207604,-36.4210118657,4610001882
655970981.40262,2020.785,64,34,38.903508,64.620174,239.376164687406,-36.4232244264,4610001882
655970981.451798,2020.785,64,34,38.900632,64.619248,239.480431225195,-36.4253860451,4610001882
655970981.500977,2020.785,64,34,38.897757,64.618321,239.62553724269,-36.4274871452,4610001882
655970981.550155,2020.785,64,34,38.894882,64.617395,239.549080813984,-36.4295257991,4610001882
655970981.599334,2020.785,64,34,38.892006,64.616468,239.446269426383,-36.4315094924,4610001882
658303779.115596,2020.859,65,34,38.937547,64.628925,239.640999291395,-36.3905836897,4610001882
658303779.213952,2020.859,65,34,38.931797,64.627071,239.548526549486,-36.3960126034,4610001882
658303779.410666,2020.859,65,34,38.920295,64.623363,239.592659472297,-36.4064488032,4610001882
658303779.459845,2020.859,65,34,38.91742,64.622437,239.519093520779,-36.4089336795,4610001882
658303779.509023,2020.859,65,34,38.914544,64.62151,239.265461738581,-36.411352708,4610001882
658303779.558202,2020.859,65,34,38.911669,64.620583,239.300374857469,-36.4137166547,4610001882
